frn,firm_name,obs_date,y,ch_number,status,status_date,n_permissions,client_money,business_type
509607,Polang Europe Limited,2019-01-01,0,06369426,See full details,01/11/2009,0,,PSD
509607,Polang Europe Limited,2020-01-01,0,06369426,See full details,01/11/2009,0,,PSD
509607,Polang Europe Limited,2021-01-01,0,06369426,See full details,01/11/2009,0,,PSD
509607,Polang Europe Limited,2022-01-01,0,06369426,See full details,01/11/2009,0,,PSD
509607,Polang Europe Limited,2023-01-01,0,06369426,See full details,01/11/2009,0,,PSD
509607,Polang Europe Limited,2024-01-01,0,06369426,See full details,01/11/2009,0,,PSD
509613,THOMPSON FINANCIAL CONSULTING LIMITED,2016-01-01,0,06519830,Authorised,19/01/2010,8,Not hold and not control client money,Regulated
509613,THOMPSON FINANCIAL CONSULTING LIMITED,2017-01-01,0,06519830,Authorised,19/01/2010,8,Not hold and not control client money,Regulated
509613,THOMPSON FINANCIAL CONSULTING LIMITED,2018-01-01,0,06519830,Authorised,19/01/2010,8,Not hold and not control client money,Regulated
509613,THOMPSON FINANCIAL CONSULTING LIMITED,2019-01-01,0,06519830,Authorised,19/01/2010,8,Not hold and not control client money,Regulated
509613,THOMPSON FINANCIAL CONSULTING LIMITED,2020-01-01,0,06519830,Authorised,19/01/2010,8,Not hold and not control client money,Regulated
509613,THOMPSON FINANCIAL CONSULTING LIMITED,2021-01-01,0,06519830,Authorised,19/01/2010,8,Not hold and not control client money,Regulated
509613,THOMPSON FINANCIAL CONSULTING LIMITED,2022-01-01,0,06519830,Authorised,19/01/2010,8,Not hold and not control client money,Regulated
509613,THOMPSON FINANCIAL CONSULTING LIMITED,2023-01-01,0,06519830,Authorised,19/01/2010,8,Not hold and not control client money,Regulated
509613,THOMPSON FINANCIAL CONSULTING LIMITED,2024-01-01,0,06519830,Authorised,19/01/2010,8,Not hold and not control client money,Regulated
509620,Anderson Financial Limited,2016-01-01,0,04871634,Authorised,11/01/2010,11,Not hold and not control client money,Regulated
509620,Anderson Financial Limited,2017-01-01,0,04871634,Authorised,11/01/2010,11,Not hold and not control client money,Regulated
509620,Anderson Financial Limited,2018-01-01,0,04871634,Authorised,11/01/2010,11,Not hold and not control client money,Regulated
509620,Anderson Financial Limited,2019-01-01,0,04871634,Authorised,11/01/2010,11,Not hold and not control client money,Regulated
509620,Anderson Financial Limited,2020-01-01,0,04871634,Authorised,11/01/2010,11,Not hold and not control client money,Regulated
